time,gForce,event
439,1.04,stat
459,1.03,stat
478,1.03,stat
497,1.03,stat
516,1.04,stat
535,1.03,stat
554,1.03,stat
573,1.03,stat
592,1.04,stat
611,1.04,stat
630,1.03,stat
649,1.04,stat
668,1.03,stat
687,1.04,stat
706,1.04,stat
725,1.04,stat
744,1.03,stat
763,1.03,stat
782,1.03,stat
801,1.03,stat
820,1.04,stat
839,1.03,stat
858,1.03,stat
877,1.04,stat
896,1.03,stat
915,1.05,stat
955,1.04,stat
974,1.03,stat
993,1.03,stat
1012,1.04,stat
1031,1.05,stat
1050,1.04,stat
1069,1.03,stat
1091,1.04,stat
1110,1.05,stat
1129,1.04,stat
1148,1.03,stat
1167,1.03,stat
1186,1.04,stat
1205,1.04,stat
1224,1.04,stat
1243,1.04,stat
1262,1.03,stat
1281,1.05,stat
1300,1.03,stat
1319,1.04,stat
1338,1.04,stat
1357,1.05,stat
1376,1.03,stat
1395,1.04,stat
1414,1.04,stat
1433,1.03,stat
1452,1.04,stat
1471,1.04,stat
1490,1.04,stat
1509,1.04,stat
1528,1.04,stat
1547,1.04,stat
1566,1.05,stat
1585,1.04,stat
1604,1.04,stat
1623,1.04,stat
1642,1.04,stat
1661,1.04,stat
1680,1.04,stat
1702,1.04,stat
1721,1.04,stat
1740,1.03,stat
1759,1.02,stat
1778,1.03,stat
1797,1.02,stat
1816,1.03,stat
1835,1.05,stat
1854,1.03,stat
1873,1.05,stat
1892,1.04,stat
1911,1.03,stat
1930,1.04,stat
1949,1.04,stat
1968,1.05,stat
1987,1.04,stat
2006,1.03,stat
2025,1.03,stat
2044,1.04,stat
2063,1.04,stat
2082,1.04,stat
2101,1.04,stat
2120,1.05,stat
2160,1.03,stat
2179,1.04,stat
2198,1.04,stat
2217,1.04,stat
2236,1.04,stat
2255,1.03,stat
2274,1.04,stat
2293,1.04,stat
2312,1.04,stat
2334,1.04,stat
2353,1.03,stat
2372,1.04,stat
2391,1.03,stat
2410,1.04,stat
2429,1.04,stat
2448,1.03,stat
2467,1.03,stat
2486,1.04,stat
2505,1.04,stat
2524,1.03,stat
2543,1.03,stat
2562,1.04,stat
2581,1.03,stat
2600,1.04,stat
2619,1.04,stat
2638,1.03,stat
2657,1.03,stat
2676,1.03,stat
2695,1.03,stat
2714,1.03,stat
2733,1.03,stat
2752,1.03,stat
2771,1.03,stat
2790,1.03,stat
2809,1.04,stat
2828,1.05,stat
2847,1.04,stat
2866,1.04,stat
2885,1.06,stat
2904,1.06,stat
2923,1.06,stat
2945,1.14,stat
2964,0.66,fall
2983,1.04,stat
3002,1.11,stat
3021,1.35,stat
3040,1.05,stat
3059,1.04,stat
3078,1.01,stat
3097,1.06,stat
3116,1.10,stat
3135,1.35,stat
3154,1.48,stat
3173,1.43,stat
3192,1.26,stat
3211,1.12,stat
3230,1.20,stat
3249,1.23,stat
3268,1.30,stat
3287,1.29,stat
3306,1.28,stat
3346,1.24,stat
3365,1.15,stat
3384,1.18,stat
3403,1.19,stat
3422,1.13,stat
3441,1.09,stat
3460,1.08,stat
3479,1.07,stat
3498,1.12,stat
3517,0.99,fall
3536,1.03,stat
3555,0.94,fall
3577,0.98,fall
3596,0.94,fall
3615,0.93,fall
3634,0.93,fall
3653,0.93,fall
3672,0.91,fall
3691,0.89,fall
3710,0.89,fall
3729,0.88,fall
3748,0.90,fall
3767,0.86,fall
3786,0.82,fall
3805,0.79,fall
3824,0.79,fall
3843,0.79,fall
3862,0.79,fall
3881,0.74,fall
3900,0.72,fall
3919,0.72,fall
3938,0.72,fall
3957,0.72,fall
3976,0.73,fall
3995,0.75,fall
4014,0.72,fall
4033,0.76,fall
4052,0.73,fall
4071,0.75,fall
4090,0.83,fall
4109,0.89,fall
4128,0.85,fall
4147,0.92,fall
4166,0.90,fall
4188,0.42,fall
4207,0.05,fall
4226,0.15,fall
4245,0.11,fall
4264,0.12,fall
4283,14.24,impt
4302,8.36,impt
4321,2.09,impt
4340,2.03,impt
4359,4.35,impt
4378,0.38,fall
4397,1.26,stat
4416,0.34,fall
4435,0.89,fall
4454,0.85,fall
4473,1.11,stat
4492,1.13,stat
4532,1.14,stat
4551,1.13,stat
4570,1.11,stat
4589,1.05,stat
4608,1.04,stat
4627,1.00,stat
4646,1.02,stat
4665,1.03,stat
4684,1.03,stat
4703,1.04,stat
4722,1.05,stat
4741,1.05,stat
4760,1.05,stat
4779,1.06,stat
4798,1.05,stat
4820,1.05,stat
4839,1.04,stat
4858,1.05,stat
4877,1.05,stat
4896,1.05,stat
4915,1.04,stat
4934,1.04,stat
4953,1.05,stat
4972,1.05,stat
4991,1.05,stat
5010,1.05,stat
5029,1.04,stat
5048,1.05,stat
5067,1.05,stat
5086,1.05,stat
5105,1.06,stat
5124,1.05,stat
5143,1.05,stat
5162,1.05,stat
5181,1.04,stat
5200,1.05,stat
5219,1.06,stat
5238,1.03,stat
5257,1.04,stat
5276,1.04,stat
5295,1.06,stat
5314,1.04,stat
5333,1.04,stat
5352,1.04,stat
5371,1.04,stat
5390,1.05,stat
5409,1.04,stat
5431,1.07,stat
5450,1.08,stat
5469,1.04,stat
5488,1.07,stat
5507,1.07,stat
5526,1.06,stat
5545,1.05,stat
5564,1.03,stat
5583,1.08,stat
5602,1.08,stat
5621,1.03,stat
5640,1.08,stat
5659,1.05,stat
5678,1.02,stat
5718,1.06,stat
5737,1.04,stat
5756,1.08,stat
5775,1.11,stat
5794,1.14,stat
5813,1.10,stat
5832,1.17,stat
5851,1.22,stat
5870,1.17,stat
5889,1.17,stat
5908,1.20,stat
5927,1.19,stat
5946,1.14,stat
5965,1.17,stat
5984,1.16,stat
6003,1.21,stat
6022,1.28,stat
6041,1.30,stat
6063,1.27,stat
6082,1.26,stat
6101,1.26,stat
6120,1.23,stat
6139,1.24,stat
6158,1.16,stat
6177,1.06,stat
6196,1.10,stat
6215,1.05,stat
6234,1.06,stat
6253,1.05,stat
6272,1.01,stat
6291,0.95,fall
6310,0.94,fall
6329,0.95,fall
6348,0.96,fall
6367,0.91,fall
6386,0.89,fall
6405,0.88,fall
6424,0.84,fall
6443,0.82,fall
6462,0.80,fall
6481,0.83,fall
6500,0.80,fall
6519,0.81,fall
6538,0.84,fall
6557,0.85,fall
6576,0.85,fall
6595,0.85,fall
6614,0.84,fall
6633,0.75,fall
6652,0.74,fall
6674,0.74,fall
6693,0.81,fall
6712,0.80,fall
6731,0.76,fall
6750,0.81,fall
6769,0.78,fall
6788,0.68,fall
6807,0.67,fall
6826,0.72,fall
6845,0.81,fall
6864,1.01,stat
6883,1.14,stat
6924,1.42,stat
6943,1.60,stat
6962,1.63,stat
6981,1.63,stat
7000,1.57,stat
7019,1.46,stat
7038,1.38,stat
7057,1.34,stat
7076,1.31,stat
7095,1.25,stat
7114,1.19,stat
7133,1.13,stat
7152,1.02,stat
7171,0.97,fall
7190,0.97,fall
7209,0.96,fall
7228,0.92,fall
7247,0.95,fall
7266,0.95,fall
7285,1.02,stat
7307,1.11,stat
7326,1.12,stat
7345,1.09,stat
7364,1.09,stat
7383,1.06,stat
7402,1.03,stat
7421,1.03,stat
7440,1.04,stat
7459,1.00,stat
7478,1.20,stat
7497,1.16,stat
7516,1.09,stat
7535,1.13,stat
7554,1.06,stat
7573,1.05,stat
7592,1.01,stat
7611,1.02,stat
7630,1.04,stat
7649,1.06,stat
7668,1.03,stat
7687,0.96,fall
7706,0.97,fall
7725,1.08,stat
7744,1.35,stat
7763,1.07,stat
7782,1.14,stat
7801,1.07,stat
7820,1.07,stat
7839,1.05,stat
7858,1.06,stat
7877,1.06,stat
7896,1.31,stat
7918,1.36,stat
7937,0.97,fall
7956,0.94,fall
7975,1.04,stat
7994,1.05,stat
8013,1.07,stat
8032,1.06,stat
8051,1.29,stat
8070,1.10,stat
8110,1.13,stat
8129,1.28,stat
8148,1.22,stat
8167,1.13,stat
8186,0.97,fall
8205,0.93,fall
8224,1.13,stat
8243,1.20,stat
8262,1.20,stat
8281,1.08,stat
8300,1.06,stat
8319,0.97,fall
8338,0.93,fall
8357,1.01,stat
8376,1.09,stat
8395,1.08,stat
8414,1.03,stat
8433,1.03,stat
8452,0.99,fall
8471,0.98,fall
8490,0.97,fall
8509,0.90,fall
8528,0.87,fall
8550,0.27,fall
8569,0.19,fall
8588,0.15,fall
8607,6.34,impt
8626,4.54,impt
8645,0.78,fall
8664,0.55,fall
8683,0.96,fall
8702,1.34,stat
8721,1.11,stat
8740,0.98,fall
8759,0.93,fall
8778,0.97,fall
8797,1.00,stat
8816,1.03,stat
8835,1.03,stat
8854,1.05,stat
8873,1.06,stat
8892,1.06,stat
8911,1.06,stat
8930,1.06,stat
8949,1.04,stat
8968,1.03,stat
8987,1.04,stat
9006,1.04,stat
9025,1.04,stat
9044,1.04,stat
9063,1.05,stat
9082,1.05,stat
9101,1.04,stat
9120,1.04,stat
9139,1.05,stat
9161,1.05,stat
9180,1.04,stat
9199,1.05,stat
9218,1.03,stat
9237,1.04,stat
9256,1.05,stat
9297,1.04,stat
9316,1.03,stat
9335,1.05,stat
9354,1.05,stat
9373,1.04,stat
9392,1.05,stat
9411,1.05,stat
9430,1.04,stat
9449,1.05,stat
9468,1.05,stat
9487,1.05,stat
9506,1.05,stat
9525,1.04,stat
9544,1.06,stat
9563,1.05,stat
9582,1.07,stat
9601,1.07,stat
9620,1.05,stat
9639,1.07,stat
9658,1.04,stat
9677,1.08,stat
9696,1.04,stat
9715,1.04,stat
9734,1.06,stat
9753,1.03,stat
9772,1.06,stat
9800,1.00,stat
9819,1.00,fall
9838,1.06,stat
9857,1.06,stat
9876,1.05,stat
9895,1.09,stat
9914,1.05,stat
9933,1.07,stat
9952,1.07,stat
9971,1.06,stat
9990,1.08,stat
10009,1.08,stat
10028,1.00,fall
10047,1.11,stat
10066,1.09,stat
10085,1.09,stat
10104,1.02,stat
10123,0.98,fall
10142,1.03,stat
10161,1.05,stat
10180,1.02,stat
10199,1.01,stat
10218,1.04,stat
10237,1.07,stat
10256,1.08,stat
10275,1.06,stat
10294,1.02,stat
10313,1.01,stat
10332,1.05,stat
10351,1.02,stat
10370,1.00,stat
10392,1.05,stat
10411,1.04,stat
10430,1.04,stat
10449,1.05,stat
10489,1.09,stat
10508,1.06,stat
10527,1.02,stat
10546,1.02,stat
10565,1.03,stat
10584,1.05,stat
10603,1.04,stat
10622,1.03,stat
10641,1.05,stat
10660,1.06,stat
10679,1.07,stat
10698,1.06,stat
10717,1.07,stat
10736,1.13,stat
10755,1.17,stat
10774,1.23,stat
10793,1.27,stat
10812,1.34,stat
10831,1.47,stat
10850,1.56,stat
10869,1.51,stat
10888,1.43,stat
10907,1.38,stat
10926,1.27,stat
10945,1.20,stat
10964,1.05,stat
10986,1.07,stat
11005,0.97,fall
11024,0.90,fall
11043,0.84,fall
11062,0.79,fall
11081,0.61,fall
11100,0.39,fall
11119,0.18,fall
11138,0.54,fall
11157,1.43,stat
11176,1.84,stat
11195,0.89,fall
11214,1.17,stat
11233,2.51,impt
11252,3.42,impt
11271,2.95,impt
11290,3.33,impt
11309,1.94,impt
11328,1.46,stat
11347,0.82,fall
11366,0.89,fall
11385,1.03,stat
11404,0.93,fall
11423,0.97,fall
11442,1.01,stat
11461,1.05,stat
11480,1.07,stat
11499,1.06,stat
11518,1.12,stat
11537,1.15,stat
11559,1.11,stat
11578,1.08,stat
11597,1.01,stat
11616,0.98,fall
11635,1.01,stat
11654,1.07,stat
11694,1.08,stat
11713,1.07,stat
11732,1.09,stat
11751,1.09,stat
11770,1.10,stat
11789,1.13,stat
11808,1.14,stat
11827,1.09,stat
11846,1.04,stat
11865,1.06,stat
11884,1.08,stat
11903,1.04,stat
11922,1.06,stat
11941,1.05,stat
11960,1.05,stat
11979,1.04,stat
11998,1.03,stat
12017,1.02,stat
12036,1.02,stat
12055,1.04,stat
12074,1.10,stat
12093,1.13,stat
12112,1.14,stat
12131,1.13,stat
12153,1.10,stat
12172,1.07,stat
12191,1.06,stat
12210,1.07,stat
12229,1.08,stat
12248,1.07,stat
12267,1.10,stat
12286,1.09,stat
12305,1.10,stat
12324,1.12,stat
12343,1.13,stat
12362,1.16,stat
12381,1.16,stat
12400,1.21,stat
12419,1.27,stat
12438,1.28,stat
12457,1.24,stat
12476,1.24,stat
12495,1.28,stat
12514,1.29,stat
12533,1.23,stat
12552,1.25,stat
12571,1.24,stat
12590,1.14,stat
12609,1.07,stat
12628,1.08,stat
12647,1.05,stat
12666,0.89,fall
12685,0.57,fall
12704,0.35,fall
12726,1.19,stat
12745,1.09,stat
12764,0.51,fall
12783,0.99,fall
12802,2.13,fall
12821,2.73,impt
12840,2.65,impt
12880,1.73,impt
12899,1.29,stat
12918,0.97,fall
12937,0.82,fall
12956,0.70,fall
12975,0.85,fall
12994,0.83,fall
13013,0.97,fall
13032,1.09,stat
13051,1.15,stat
13070,1.22,stat
13089,1.24,stat
13108,1.21,stat
13127,1.15,stat
13146,1.04,stat
13165,1.04,stat
13184,1.00,stat
13203,1.01,stat
13222,1.08,stat
13241,1.14,stat
13260,1.18,stat
13279,1.24,stat
13298,1.24,stat
13320,1.23,stat
13339,1.28,stat
13358,1.25,stat
13377,1.24,stat
13396,1.21,stat
13415,1.19,stat
13434,1.15,stat
13453,1.14,stat
13472,1.13,stat
13491,1.16,stat
13510,1.22,stat
13529,1.20,stat
13548,1.10,stat
13567,0.64,fall
13586,0.67,fall
13605,1.65,fall
13624,1.72,fall
13643,0.42,fall
13662,1.64,fall
13681,2.63,impt
13700,2.67,impt
