Designator,Mid X,Mid Y,Rotation,Layer
C1,124.0,-84.5,270.0,top
C2,126.5,-84.5,90.0,top
C3,107.05,-74.25,180.0,top
C4,101.0,-52.45,90.0,top
C5,98.5,-52.45,90.0,top
C6,96.0,-52.45,90.0,top
C7,93.5,-52.45,270.0,top
C8,125.55,-61.0,180.0,top
C9,125.5,-72.45,270.0,top
D1,129.0,-93.9375,270.0,top
D2,130.4375,-76.0,180.0,top
D3,126.5625,-76.0,0.0,top
J1,87.275,-63.325,270.0,top
J2,133.885,-90.935,90.0,top
J3,122.5,-98.55,180.0,top
MPU6050,106.75,-78.25,180.0,top
R1,129.825,-78.5,180.0,top
R2,126.2,-78.5,0.0,top
R3,133.4125,-78.5,180.0,top
R4,102.5,-78.8375,270.0,top
R5,107.0,-82.75,0.0,top
R6,100.5875,-55.5,0.0,top
R7,135.5,-67.0,270.0,top
SW1,129.75,-55.25,0.0,top
SW2,129.25,-66.75,180.0,top
U1,112.515,-56.76,0.0,top
U3,132.7,-83.7,90.0,top
U4,128.3125,-88.45,0.0,top
