"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3,C6","3","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C2,C4,C5,C8,C9","5","10uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C7","1","100uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1","1","D_Schottky","","","","Diode_SMD:D_0805_2012Metric","~"
"D2","1","green","","","","LED_SMD:LED_0805_2012Metric","~"
"D3","1","red","","","","LED_SMD:LED_0805_2012Metric","~"
"J1","1","Micro_SD_Card_Det_Hirose_DM3AT","","","","Connector_Card:microSD_HC_Hirose_DM3AT-SF-PEJM5","https://www.hirose.com/product/en/download_file/key_name/DM3/category/Catalog/doc_file_id/49662/?file_category_id=4&item_id=195&is_series=1"
"J2","1","USB_B_Micro","","","","Connector_USB:USB_Micro-B_Amphenol_10103594-0001LF_Horizontal","~"
"J3","1","battery socket","","","","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","~"
"R1,R2","2","330R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3","1","1.2R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R4,R5","2","4.7R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R6,R7","2","10R","","","","Resistor_SMD:R_0805_2012Metric","~"
"SW1,SW2","2","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm_H4.3mm","~"
"U1","1","ESP32-S3-WROOM-1","","","","RF_Module:ESP32-S3-WROOM-1","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf"
"U2","1","MPU-6050","","","","Sensor_Motion:InvenSense_QFN-24_4x4mm_P0.5mm","https://invensense.tdk.com/wp-content/uploads/2015/02/MPU-6000-Datasheet1.pdf"
"U3","1","TP4056-42-ESOP8","","","","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias","https://www.lcsc.com/datasheet/lcsc_datasheet_2410121619_TOPPOWER-Nanjing-Extension-Microelectronics-TP4056-42-ESOP8_C16581.pdf"
"U4","1","ME6211C10M5","","","","Package_TO_SOT_SMD:SOT-23-5","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_MICRONE-Nanjing-Micro-One-Elec-ME6211C33R5G_C235316.pdf"
