time,gForce
568,1.02
592,1.02
616,1.03
640,1.03
664,1.03
688,1.03
712,1.03
736,1.03
760,1.03
784,1.03
808,1.03
832,1.04
856,1.03
880,1.03
904,1.04
928,1.03
952,1.03
976,1.02
1000,1.03
1024,1.03
1048,1.03
1072,1.04
1096,1.03
1120,1.04
1144,1.03
1168,1.04
1192,1.04
1216,1.03
1240,1.03
1264,1.03
1288,1.03
1312,1.03
1336,1.03
1360,1.03
1384,1.03
1408,1.04
1432,1.03
1456,1.03
1480,1.03
1504,1.03
1528,1.03
1552,1.03
1576,1.02
1600,1.03
1624,1.04
1648,1.03
1672,1.02
1695,1.04
1719,1.04
1743,1.03
1767,1.04
1791,1.04
1815,1.02
1839,1.03
1863,1.03
1887,1.03
1911,1.04
1935,1.03
1959,1.04
1983,1.04
2007,1.04
2031,1.04
2077,1.04
2101,1.04
2125,1.04
2149,1.04
2173,1.04
2197,1.03
2221,1.04
2245,1.03
2269,1.03
2293,1.04
2317,1.03
2341,1.03
2365,1.02
2389,1.03
2413,1.03
2437,1.03
2461,1.03
2485,1.03
2509,1.03
2533,1.02
2557,1.04
2581,1.03
2605,1.02
2629,1.04
2653,1.04
2677,1.03
2701,1.04
2725,1.03
2749,1.03
2773,1.03
2797,1.03
2821,1.04
2848,1.03
2872,1.04
2896,1.04
2920,1.03
2944,1.03
2968,1.04
2992,1.05
3016,1.03
3040,1.03
3064,1.03
3088,1.04
3112,1.02
3136,1.04
3160,1.04
3184,1.03
3208,1.03
3232,1.03
3256,1.03
3280,1.03
3304,1.04
3328,1.00
3352,0.97
3376,1.11
3400,1.15
3424,1.08
3448,1.05
3472,1.08
3496,1.21
3520,1.18
3544,1.09
3589,1.34
3613,1.29
3637,1.08
3661,1.08
3685,1.21
3709,1.40
3733,1.40
3757,1.31
3781,1.21
3805,1.20
3829,1.21
3853,1.19
3877,1.12
3901,1.06
3925,1.00
3949,0.95
3973,0.93
4000,0.90
4024,0.80
4048,0.75
4072,0.66
4096,0.59
4120,0.54
4144,0.51
4168,0.54
4192,0.53
4216,0.58
4240,0.64
4264,0.66
4288,0.54
4312,0.50
4336,0.58
4360,0.66
4384,0.11
4408,0.22
4432,0.21
4456,22.88
4480,0.77
4504,0.48
4528,0.61
4552,1.15
4576,1.17
4600,2.55
4624,0.77
4648,1.06
4672,1.07
4696,1.02
4720,1.02
4744,1.01
4768,1.03
4792,1.04
4816,1.05
4840,1.03
4864,1.03
4888,1.04
4912,1.03
4936,1.04
4960,1.04
4984,1.04
5008,1.03
5032,1.04
5056,1.04
5101,1.03
5128,1.04
5152,1.04
5176,1.04
5200,1.04
5224,1.04
5248,1.04
5272,1.03
5296,1.04
5320,0.96
5344,1.00
5368,1.09
5392,1.03
5416,1.09
5440,1.04
5464,1.13
5488,1.10
5512,1.19
5536,1.20
5560,1.22
5584,1.22
5608,1.24
5632,1.22
5656,1.19
5680,1.17
5704,1.16
5728,1.10
5752,1.09
5776,1.13
5800,1.07
5824,1.05
5848,1.00
5872,0.95
5896,0.95
5920,0.96
5944,0.94
5968,0.96
5992,0.95
