Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C6",0805,5,10uF,
"C10, C5",0805,2,0.1uF,
C12,0805,1,1uF,
D3,0805,1,red,
D4,0805,1,grn,
"EN1, IO0",SW_Push_1P1T-SH_NO_CK_KMR2xxG,2,SW_Push,
J1,USB_Micro-B_Amphenol_10118194-0001LF_Horizontal,1,USB_B_Micro,
J2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Battery_conn,
J3,PinSocket_1x08_P2.54mm_Vertical,1,1.8inch TFT connector,
R1,0805,1,3.3kR,
"R10, R11",0805,2,100kR,
"R2, R3",0805,2,1kR,
"R4, R5",0805,2,22R,
"R6, R7, R9",0805,3,10kR,
R8,0805,1,330R,
U1,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,
U2,SOT-23-5,1,ME6211C33M5,
U3,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
