Designator,Mid X,Mid Y,Rotation,Layer
C1,142.55,-90.5,0.0,top
C10,112.25,-93.03,180.0,top
C12,111.0,-54.5,90.0,top
C2,142.5,-92.5,0.0,top
C3,129.6,-88.0,0.0,top
C4,129.55,-95.0,180.0,top
C5,115.0,-54.5,90.0,top
C6,113.0,-54.5,90.0,top
D3,135.1375,-84.97,0.0,top
D4,135.1375,-86.97,0.0,top
EN1,107.05,-54.7,180.0,top
IO0,141.45,-54.7,0.0,top
J1,148.2,-90.5,90.0,top
J2,107.0,-92.25,270.0,top
J3,125.11,-105.0,270.0,top
R1,142.5,-94.5,0.0,top
R10,112.5,-91.0,0.0,top
R11,112.2875,-95.03,180.0,top
R2,138.575,-86.97,180.0,top
R3,138.575,-84.97,180.0,top
R4,143.6,-86.5875,270.0,top
R5,141.6,-86.5875,270.0,top
R6,114.4125,-57.5,0.0,top
R7,137.5,-54.8125,90.0,top
R8,134.0,-101.0875,270.0,top
R9,114.5,-67.5,180.0,top
U1,136.9,-91.2,90.0,top
U2,129.6,-91.5,90.0,top
U3,126.2725,-58.82,0.0,top
