Designator,Mid X,Mid Y,Rotation,Layer
C1_2,155.25,-91.85,0.0,top
C1,141.55,-94.0,0.0,top
C10,152.95,-78.0,0.0,top
C11,119.915,-74.47,180.0,top
C12,110.0,-58.45,90.0,top
C13,152.05,-94.0,0.0,top
C2,140.05,-98.0,0.0,top
C3,140.05,-100.0,0.0,top
C4,133.4,-79.2,0.0,top
C5,126.5,-83.5,270.0,top
C6,134.95,-82.7375,270.0,top
C7,120.5,-58.05,90.0,top
C8,118.0,-58.05,90.0,top
C9,119.915,-76.47,180.0,top
D1,148.715,-84.405,0.0,top
D2,148.715,-81.85,0.0,top
EN1,113.95,-58.2,180.0,top
IO0,147.0,-58.0,0.0,top
J1,159.4625,-95.35,90.0,top
J2,159.0,-78.75,270.0,top
J3,108.965,-69.47,270.0,top
J4,155.5,-64.77,0.0,top
R1,155.5,-99.5,90.0,top
R10,152.95,-76.0,180.0,top
R11,149.95,-77.0,270.0,top
R12,121.5,-87.4125,270.0,top
R13,123.5,-87.4125,270.0,top
R2,152.5875,-82.0,180.0,top
R3,152.5875,-84.5,180.0,top
R4,120.0,-61.0,0.0,top
R5,143.0,-58.0,90.0,top
R6,128.45,-78.2875,270.0,top
R7,130.45,-78.2875,270.0,top
R8,119.9075,-72.435,180.0,top
R9,121.0,-64.0,270.0,top
U1,131.75,-62.72,0.0,top
U2,150.7,-98.675,90.0,top
U3,143.5,-99.0,90.0,top
U4,131.0,-82.95,0.0,top
